	NAME	LATITUDE	LONGITUDE
0	A CHILD'S GARDEN	41.291989997	-73.087632372
1	BRIDGEPORT INTERNATIONAL ACADEMY	41.16741635	-73.188437585
2	CARMEL ACADMEY	41.038689564	-73.635282641
3	COUNTRY KIDS CLUB	41.438861027	-73.405867987
4	EAGLE HILL SCHOOL	41.032465088	-73.640253683
5	EASTON COUNTRY DAY SCHOOL	41.251380804	-73.295045176
6	FAIRFIELD COUNTY SDA SCHOOL	41.218170957	-73.201536911
7	FRASER WOODS MONTESSORI SCHOOL	41.380994068	-73.280946784
8	GIANT STEPS CONNECTICUT	41.148761036	-73.285871855
9	HOUSATONIC VALLEY WALDORF SCHOOL	41.379200731	-73.355308693
10	LANDMARK PRESCHOOL	41.260415151	-73.428463922
11	ABERCORN INTERNATIONAL SCHOOL	30.35841995	-97.95460444
12	LANDMARK PRESCHOOL	41.136919023	-73.365747249
13	OUR LADY OF GRACE NURSERY SCHOOL & KINDERGARTEN	41.073751198	-73.516928873
14	OUR LADY STAR OF THE SEA SCHOOL	41.036538673	-73.524818868
15	PIERREPONT SCHOOL	41.134679455	-73.373458861
16	ST CATHERINE ACADEMY	41.200190647	-73.253509686
17	ST JUDE SCHOOL	41.330124649	-73.209218027
18	ST MARY SCHOOL	41.281925795	-73.505177398
19	ST THERESA SCHOOL	41.238178159	-73.223134328
20	ST VINCENT'S SPECIAL NEEDS SERVICES	41.239958366	-73.144981828
21	THE CANAAN RIDGE SCHOOL	41.157079076	-73.598236102
22	THE GREENWICH JAPANESE SCHOOL	41.047304434	-73.624098386
23	THE STANWICH SCHOOL	41.072682416	-73.602719239
24	TRINITY CATHOLIC MIDDLE	41.091982131	-73.534168839
25	VILLA MARIA EDUCATION CENTER	41.142901691	-73.552901105
26	WHITBY SCHOOL	41.114190474	-73.653859242
27	WOOSTER SCHOOL	41.364572773	-73.498725473
28	LITTLE WONDERS OF BAYBROOK BAPTIST	29.546736036	-95.181188264
29	LLANO CHRISTIAN ACADEMY	30.748595483	-98.67679205
30	LOGOS PREPARATORY SCHOOL	29.62518	-95.594861
31	MACEDONIAN CHRISTIAN ACADEMY	26.180365755	-98.08235842
32	MAINLAND CHRISTIAN ACADEMY INC.	29.411351415	-95.038863924
33	MARBLE FALLS FIRST BAPTIST CHRISTIAN SCHOOL	30.57865283	-98.267208232
34	MASTERPIECE BILINGUAL ACADEMY	27.665228491	-97.357889366
35	MESORAH HIGH SCHOOL FOR GIRLS	32.921496034	-96.776488697
36	MIDLAND CLASSICAL ACADEMY	32.05112	-102.126511
37	MONTESSORI COUNTRY DAY SCHOOL	29.726000457	-95.382832879
38	MONTESSORI SCHOOL OF SUGAR LAND	29.576696493	-95.584278204
39	MORNING STAR ACADEMY	33.617721296	-96.1940278
40	MOSAIC ACADEMY	32.729108454	-97.335714682
41	ALL SAINTS CATHOLIC SCHOOL	41.137445165	-73.417165031
42	AMERICAN SCHOOL FOR THE DEAF	41.77105209	-72.747287798
43	BRUNSWICK SCHOOL	41.037905969	-73.626277959
44	CATHOLIC ACADEMY OF BRIDGEPORT/ST RAPHAEL ACADEMY	41.186291764	-73.2001665
45	CHRISTIAN HERITAGE SCHOOL	41.237474609	-73.18388044
46	CHRISTIAN LIFE ACADEMY	41.454246378	-73.402087924
47	EAGLE HILL - SOUTHPORT	41.133697291	-73.284040514
48	FAIRFIELD COLLEGE PREPARATORY	41.160741794	-73.254206606
49	FAIRFIELD COUNTRY DAY SCHOOL	41.172903886	-73.290541622
50	GREAT BEGINNINGS MONTESSORI SCHOOL	41.143638896	-73.251018697
51	GREENS FARMS ACADEMY	41.119052125	-73.314615333
52	GREENWICH CATHOLIC SCHOOL	41.069221633	-73.626079374
53	HUDSON COUNTRY MONTESSORI SCHOOL	41.38996242	-73.430045001
54	IMMACULATE HIGH SCHOOL	41.382387122	-73.453177571
55	IMMANUEL LUTHERAN SCHOOL	41.673713174	-72.949345934
56	KOLBE CATHEDRAL HIGH SCHOOL	41.179519104	-73.196305199
57	MOORELAND HILL SCHOOL	41.642378692	-72.794179831
58	NOTRE DAME CATHOLIC HIGH SCHOOL	41.224061981	-73.24640695
59	PEAR TREE POINT SCHOOL	41.050017442	-73.479589521
60	ST ANDREW ACADEMY	41.217985821	-73.223147353
61	ST ANN ACADEMY	41.156130281	-73.225676831
62	ST AUGUSTINE ACADEMY	41.180403376	-73.196704645
63	ST AUGUSTINE SCHOOL	41.740394446	-72.685282872
64	ST CATHERINE OF SIENA SCHOOL	41.245479218	-73.155512606
65	ST CECILIA ELEMENTARY SCHOOL	41.100475016	-73.532740115
66	ST CHRISTOPHER SCHOOL	41.74763082	-72.601941899
67	ST GREGORY THE GREAT SCHOOL	41.428472318	-73.438983483
68	ST JAMES SCHOOL	41.189481623	-73.129531442
69	ST JOSEPH ELEMENTARY SCHOOL	41.400088088	-73.459071942
